Channels,Time Slot,Week Days,All Individuals,Dettol TG,18-45_Male_Female,Males ,Females,RPM,CPRP,Timeband
EXPRESS ENT,14:00 - 14:30,Saturday,0.23,0.35,0.26,0.2,0.26,"4,675","6,679",Afternoon
EXPRESS ENT,14:30 - 15:00,Sunday,0.17,0.27,0.2,0.12,0.23,"4,675","8,657",Afternoon
EXPRESS ENT,14:30 - 15:00,Monday,0.14,0.22,0.16,0.1,0.18,"4,675","10,625",Afternoon
EXPRESS ENT,14:30 - 15:00,Tuesday,0.17,0.36,0.21,0.12,0.22,"4,675","6,493",Afternoon
EXPRESS ENT,14:30 - 15:00,Wednesday,0.15,0.24,0.17,0.12,0.19,"4,675","9,740",Afternoon
EXPRESS ENT,14:30 - 15:00,Thursday,0.15,0.18,0.17,0.11,0.2,"4,675","12,986",Afternoon
EXPRESS ENT,14:30 - 15:00,Friday,0.1,0.23,0.13,0.09,0.13,"4,675","10,163",Afternoon
EXPRESS ENT,14:30 - 15:00,Saturday,0.14,0.35,0.18,0.12,0.17,"4,675","6,679",Afternoon
EXPRESS ENT,15:00 - 15:30,Sunday,0.47,0.57,0.54,0.34,0.6,"4,675","4,101",Afternoon
EXPRESS ENT,15:00 - 15:30,Monday,0.41,0.59,0.48,0.26,0.57,"4,675","3,962",Afternoon
EXPRESS ENT,15:00 - 15:30,Tuesday,0.37,0.65,0.42,0.24,0.5,"4,675","3,596",Afternoon
EXPRESS ENT,15:00 - 15:30,Wednesday,0.41,0.66,0.47,0.28,0.54,"4,675","3,542",Afternoon
EXPRESS ENT,15:00 - 15:30,Thursday,0.3,0.47,0.31,0.23,0.38,"4,675","4,973",Afternoon
EXPRESS ENT,15:00 - 15:30,Friday,0.36,0.6,0.44,0.26,0.48,"4,675","3,896",Afternoon
EXPRESS ENT,15:00 - 15:30,Saturday,0.41,0.61,0.48,0.31,0.51,"4,675","3,832",Afternoon
EXPRESS ENT,15:30 - 16:00,Sunday,0.25,0.36,0.3,0.19,0.31,"4,675","6,493",Afternoon
EXPRESS ENT,15:30 - 16:00,Monday,0.16,0.29,0.19,0.1,0.23,"4,675","8,060",Afternoon
EXPRESS ENT,15:30 - 16:00,Tuesday,0.23,0.4,0.25,0.15,0.31,"4,675","5,844",Afternoon
EXPRESS ENT,15:30 - 16:00,Wednesday,0.19,0.29,0.19,0.13,0.24,"4,675","8,060",Afternoon
EXPRESS ENT,15:30 - 16:00,Thursday,0.22,0.44,0.24,0.14,0.3,"4,675","5,313",Afternoon
EXPRESS ENT,15:30 - 16:00,Friday,0.21,0.39,0.23,0.14,0.29,"4,675","5,994",Afternoon
EXPRESS ENT,15:30 - 16:00,Saturday,0.17,0.27,0.18,0.1,0.24,"4,675","8,657",Afternoon
EXPRESS ENT,16:00 - 16:30,Sunday,0.19,0.3,0.23,0.14,0.24,"4,675","7,792",Afternoon
EXPRESS ENT,16:00 - 16:30,Monday,0.1,0.25,0.11,0.06,0.14,"4,675","9,350",Afternoon
EXPRESS ENT,16:00 - 16:30,Tuesday,0.07,0.11,0.07,0.06,0.08,"4,675","21,250",Afternoon
EXPRESS ENT,16:00 - 16:30,Wednesday,0.08,0.12,0.08,0.06,0.09,"4,675","19,479",Afternoon
EXPRESS ENT,16:00 - 16:30,Thursday,0.08,0.24,0.11,0.05,0.12,"4,675","9,740",Afternoon
EXPRESS ENT,16:00 - 16:30,Friday,0.07,0.13,0.08,0.05,0.1,"4,675","17,981",Afternoon
EXPRESS ENT,16:00 - 16:30,Saturday,0.1,0.15,0.11,0.05,0.14,"4,675","15,583",Afternoon
EXPRESS ENT,16:30 - 17:00,Sunday,0.12,0.3,0.14,0.09,0.16,"4,675","7,792",Afternoon
EXPRESS ENT,16:30 - 17:00,Monday,0.08,0.17,0.09,0.04,0.12,"4,675","13,750",Afternoon
EXPRESS ENT,16:30 - 17:00,Tuesday,0.04,0.06,0.04,0.04,0.05,"4,675","38,958",Afternoon
EXPRESS ENT,16:30 - 17:00,Wednesday,0.08,0.11,0.1,0.06,0.1,"4,675","21,250",Afternoon
EXPRESS ENT,16:30 - 17:00,Thursday,0.07,0.1,0.08,0.04,0.09,"4,675","23,375",Afternoon
EXPRESS ENT,16:30 - 17:00,Friday,0.08,0.12,0.08,0.07,0.09,"4,675","19,479",Afternoon
EXPRESS ENT,16:30 - 17:00,Saturday,0.08,0.08,0.09,0.04,0.12,"4,675","29,219",Afternoon
EXPRESS ENT,17:00 - 17:30,Sunday,0.1,0.19,0.1,0.07,0.13,"4,675","12,303",Pre-Prime
EXPRESS ENT,17:00 - 17:30,Monday,0.1,0.19,0.12,0.06,0.15,"4,675","12,303",Pre-Prime
EXPRESS ENT,17:00 - 17:30,Tuesday,0.05,0.09,0.06,0.05,0.06,"4,675","25,972",Pre-Prime
EXPRESS ENT,17:00 - 17:30,Wednesday,0.09,0.06,0.11,0.06,0.13,"4,675","38,958",Pre-Prime
EXPRESS ENT,17:00 - 17:30,Thursday,0.09,0.14,0.1,0.05,0.12,"4,675","16,696",Pre-Prime
EXPRESS ENT,17:00 - 17:30,Friday,0.08,0.1,0.09,0.07,0.09,"4,675","23,375",Pre-Prime
EXPRESS ENT,17:00 - 17:30,Saturday,0.11,0.09,0.13,0.08,0.15,"4,675","25,972",Pre-Prime
